id_student,score_kuesioner,studied_credits,date_registration,final_result,label
6516,60.0,60,-52.0,Pass,1
8462,93.0,90,-137.0,Withdrawn,0
11391,78.0,240,-159.0,Pass,1
23629,83.5,60,-47.0,Fail,0
23698,86.0,120,-110.0,Pass,1
23798,95.0,60,-27.0,Distinction,1
24186,70.0,30,-25.0,Pass,1
24213,78.0,60,-54.0,Pass,1
24391,80.0,30,-64.0,Distinction,1
24734,41.0,60,-18.0,Pass,1
25107,79.5,120,-73.0,Pass,1
25150,97.0,60,-47.0,Pass,1
25261,78.0,60,-114.0,Withdrawn,0
25572,80.0,150,-68.0,Withdrawn,0
25997,86.5,60,-139.0,Withdrawn,0
26023,83.0,30,-37.0,Pass,1
26192,87.0,60,-38.0,Distinction,1
26211,91.0,90,-25.0,Pass,1
26247,88.0,60,-47.0,Fail,0
26315,1.0,60,-92.0,Pass,1
26734,100.0,90,-101.0,Fail,0
27116,89.5,120,-156.0,Distinction,1
27189,60.5,120,-65.0,Fail,0
27417,80.0,60,-74.0,Withdrawn,0
27683,80.5,60,-24.0,Pass,1
27759,70.5,120,-43.0,Fail,0
27780,65.0,150,-23.0,Pass,1
27891,86.5,120,-58.0,Withdrawn,0
27935,75.0,60,-134.0,Fail,0
28046,58.0,70,-190.0,Fail,0
28061,78.0,60,-130.0,Pass,1
28400,70.0,60,-53.0,Pass,1
28418,30.0,30,-37.0,Fail,0
28787,89.0,60,-29.0,Pass,1
28808,80.0,60,-120.0,Fail,0
28897,80.5,120,-136.0,Distinction,1
28952,59.5,60,-50.0,Withdrawn,0
29144,80.0,120,-24.0,Fail,0
29335,90.5,60,-31.0,Distinction,1
29411,75.0,150,-135.0,Withdrawn,0
29420,95.0,30,-14.0,Pass,1
29639,76.5,30,-24.0,Pass,1
29764,91.0,90,-34.0,Distinction,1
29769,91.5,60,-32.0,Fail,0
29820,80.0,60,-57.0,Pass,1
29985,87.5,30,-93.0,Pass,1
30091,90.0,60,-145.0,Pass,1
30096,97.0,60,-22.0,Distinction,1
30531,90.0,180,-137.0,Fail,0
30549,35.0,60,-102.0,Fail,0
30850,100.0,120,-56.0,Distinction,1
31014,92.5,120,-43.0,Withdrawn,0
31107,88.0,30,-47.0,Pass,1
31161,90.5,105,-43.0,Distinction,1
31173,92.0,60,-44.0,Fail,0
31205,90.0,30,-31.0,Fail,0
31269,45.0,120,-90.0,Withdrawn,0
31296,79.5,60,-20.0,Fail,0
31600,47.0,60,-52.0,Pass,1
31604,72.0,60,-52.0,Pass,1
31663,94.0,60,-60.0,Pass,1
31849,90.5,120,-128.0,Pass,1
32221,91.0,60,-32.0,Fail,0
32239,77.5,30,-78.0,Pass,1
32327,1.0,60,-92.0,Withdrawn,0
32885,69.0,60,-176.0,Pass,1
32930,1.0,60,-35.0,Pass,1
33387,65.0,120,-43.0,Withdrawn,0
33600,84.0,150,-43.0,Withdrawn,0
33666,79.0,60,-23.0,Withdrawn,0
33681,94.0,60,-151.0,Withdrawn,0
33796,75.0,60,-51.0,Pass,1
33897,50.0,60,-58.0,Withdrawn,0
33915,89.5,60,-64.0,Distinction,1
33930,78.0,90,-143.0,Pass,1
34068,82.0,30,-74.0,Withdrawn,0
34087,88.0,60,-75.0,Withdrawn,0
34229,86.5,120,-58.0,Pass,1
34293,72.0,60,-68.0,Withdrawn,0
34353,97.5,120,-16.0,Fail,0
34431,80.0,60,-24.0,Withdrawn,0
34653,50.0,60,-149.0,Fail,0
34662,1.0,60,-137.0,Withdrawn,0
34731,77.5,60,-38.0,Withdrawn,0
34756,75.5,150,-43.0,Withdrawn,0
34863,82.0,60,-65.0,Pass,1
35001,80.0,30,-27.0,Fail,0
35340,93.0,60,-51.0,Pass,1
35355,87.5,30,-25.0,Withdrawn,0
35502,66.0,60,-73.0,Withdrawn,0
35508,94.0,30,-44.0,Pass,1
35544,96.5,60,-22.0,Pass,1
35747,54.0,120,-15.0,Withdrawn,0
35796,82.0,60,-66.0,Fail,0
35812,71.0,60,-53.0,Fail,0
35860,85.0,60,-60.0,Pass,1
36347,79.0,120,-25.0,Pass,1
36385,76.5,120,-73.0,Withdrawn,0
37298,87.0,120,-31.0,Pass,1
37622,85.0,120,-46.0,Pass,1
37652,100.0,50,-11.0,Distinction,1
38053,79.0,60,-110.0,Pass,1
38234,75.0,60,-117.0,Fail,0
38711,1.0,60,-43.0,Withdrawn,0
38941,77.0,60,-24.0,Fail,0
39208,100.0,120,-72.0,Pass,1
39411,70.0,60,-36.0,Fail,0
39427,84.0,60,-37.0,Withdrawn,0
39655,79.0,120,-22.0,Distinction,1
39660,85.0,120,-40.0,Fail,0
39882,85.0,120,-26.0,Pass,1
40184,95.0,60,-106.0,Distinction,1
40419,71.5,60,-46.0,Withdrawn,0
40563,94.0,60,-43.0,Pass,1
40604,80.0,30,-17.0,Pass,1
40857,86.0,120,-89.0,Withdrawn,0
40878,91.0,120,-86.0,Distinction,1
41060,81.0,60,-24.0,Fail,0
41414,79.0,30,-12.0,Pass,1
41547,100.0,60,-87.0,Pass,1
42552,79.0,90,-150.0,Pass,1
42616,79.0,60,-33.0,Pass,1
42638,67.0,60,-52.0,Pass,1
42668,80.0,120,-122.0,Pass,1
42746,95.5,60,-108.0,Distinction,1
42818,39.0,180,-124.0,Fail,0
43273,85.5,90,-108.0,Pass,1
43284,76.0,180,-28.0,Withdrawn,0
43430,89.0,60,-53.0,Pass,1
43564,94.0,60,-18.0,Pass,1
43958,89.0,60,-167.0,Withdrawn,0
45423,67.5,60,-31.0,Fail,0
45462,70.0,60,-67.0,Pass,1
45642,72.0,120,-29.0,Pass,1
45664,66.0,60,-173.0,Withdrawn,0
46016,65.0,60,-129.0,Withdrawn,0
46148,85.5,60,-23.0,Pass,1
46605,94.0,60,-54.0,Distinction,1
46705,100.0,60,-61.0,Fail,0
46753,80.0,60,-93.0,Pass,1
46812,55.0,180,-29.0,Withdrawn,0
46844,56.0,60,-74.0,Pass,1
47061,73.0,30,-16.0,Pass,1
47063,43.0,120,-73.0,Withdrawn,0
47855,50.5,300,23.0,Withdrawn,0
47861,70.5,60,-103.0,Pass,1
47891,100.0,60,-73.0,Fail,0
47924,44.0,60,-142.0,Fail,0
48040,80.0,120,-92.0,Pass,1
48152,59.0,120,-139.0,Pass,1
48503,88.0,60,-146.0,Pass,1
48635,86.0,120,-8.0,Withdrawn,0
49119,59.5,90,-74.0,Distinction,1
49123,84.5,30,-74.0,Pass,1
50069,89.0,90,-134.0,Fail,0
50263,92.0,60,-113.0,Withdrawn,0
50476,95.0,60,-23.0,Distinction,1
50487,75.0,60,-64.0,Pass,1
50610,90.0,70,-151.0,Fail,0
50993,70.5,60,-53.0,Fail,0
51030,84.0,60,-23.0,Pass,1
51033,95.0,60,-154.0,Pass,1
51153,75.0,60,-149.0,Pass,1
51163,87.0,60,-179.0,Pass,1
51301,93.0,60,-52.0,Withdrawn,0
51485,95.0,120,-18.0,Distinction,1
51576,58.0,90,-100.0,Withdrawn,0
51955,50.0,60,-51.0,Fail,0
52014,67.0,120,4.0,Fail,0
52130,72.0,90,-33.0,Pass,1
52275,38.0,90,-136.0,Fail,0
52426,73.0,60,-32.0,Fail,0
52702,85.0,30,-12.0,Pass,1
52765,67.0,120,-22.0,Pass,1
52797,93.5,60,-54.0,Pass,1
52899,86.5,60,-117.0,Withdrawn,0
53025,71.0,60,-179.0,Pass,1
53136,74.5,120,-1.0,Pass,1
53166,83.5,60,-75.0,Pass,1
53197,0.0,60,-81.0,Fail,0
53300,86.0,270,-24.0,Distinction,1
53488,86.5,60,-25.0,Pass,1
53632,80.0,60,-15.0,Withdrawn,0
53709,84.5,60,-67.0,Withdrawn,0
54062,58.5,60,-67.0,Withdrawn,0
54391,50.0,60,-4.0,Withdrawn,0
54810,90.0,60,-54.0,Withdrawn,0
54867,74.0,120,-82.0,Fail,0
54882,82.0,60,-130.0,Fail,0
55013,72.0,120,-54.0,Fail,0
55026,79.5,60,-88.0,Pass,1
55104,75.0,60,-87.0,Pass,1
55419,78.0,90,-39.0,Withdrawn,0
55450,88.0,120,-66.0,Fail,0
55968,71.0,120,-29.0,Fail,0
56637,81.0,90,-99.0,Distinction,1
56667,69.0,120,-46.0,Fail,0
56789,82.5,60,-30.0,Pass,1
57079,87.0,60,-129.0,Fail,0
57227,86.0,160,-46.0,Pass,1
57285,1.0,60,-29.0,Pass,1
57340,60.0,120,-58.0,Pass,1
57506,68.0,60,-103.0,Pass,1
57818,94.0,60,-139.0,Pass,1
57844,79.0,60,-59.0,Pass,1
58071,87.0,60,-72.0,Pass,1
58089,87.5,90,-58.0,Fail,0
58316,78.0,120,-80.0,Pass,1
58549,96.0,120,-23.0,Distinction,1
58617,58.0,60,-22.0,Fail,0
58640,79.5,90,-29.0,Pass,1
58653,1.0,120,-80.0,Pass,1
58731,55.0,110,4.0,Pass,1
58873,73.0,60,-47.0,Pass,1
58884,94.0,90,-50.0,Distinction,1
59185,67.0,60,-59.0,Pass,1
59272,64.0,60,-58.0,Pass,1
59275,54.0,60,-72.0,Fail,0
59370,82.0,180,-33.0,Pass,1
59541,40.0,30,-1.0,Withdrawn,0
59725,93.5,120,-29.0,Distinction,1
60135,66.5,60,-90.0,Pass,1
60162,71.5,30,4.0,Pass,1
60405,89.0,30,-123.0,Distinction,1
60416,75.0,60,-64.0,Pass,1
60519,70.5,60,-73.0,Withdrawn,0
60809,95.5,120,-24.0,Pass,1
60830,86.5,120,-32.0,Pass,1
61227,78.0,30,-38.0,Pass,1
61236,56.0,110,-23.0,Withdrawn,0
61352,100.0,60,-144.0,Withdrawn,0
61911,84.0,180,-80.0,Fail,0
62034,91.0,60,-103.0,Pass,1
62155,73.0,60,-68.0,Pass,1
62278,61.0,40,-54.0,Fail,0
62487,78.0,60,-50.0,Pass,1
62631,87.5,60,-45.0,Fail,0
62975,82.5,30,-53.0,Fail,0
63015,75.0,60,-18.0,Fail,0
63044,72.5,120,-43.0,Fail,0
63112,64.0,60,-74.0,Pass,1
63165,50.0,60,-82.0,Pass,1
63295,78.0,150,-159.0,Pass,1
63371,80.5,30,-32.0,Pass,1
63400,83.0,60,-67.0,Pass,1
63467,1.0,120,-143.0,Pass,1
63566,67.0,120,-85.0,Fail,0
63721,93.0,60,-73.0,Distinction,1
63827,85.0,60,-68.0,Withdrawn,0
63856,75.0,60,-176.0,Pass,1
63949,84.5,30,-99.0,Pass,1
64275,87.5,60,-26.0,Pass,1
64296,76.0,60,-25.0,Fail,0
64388,75.0,120,-150.0,Fail,0
64427,80.5,60,-78.0,Distinction,1
64450,21.0,120,-43.0,Pass,1
64767,78.0,60,-24.0,Withdrawn,0
64901,62.0,30,-45.0,Pass,1
65002,66.0,60,-180.0,Withdrawn,0
65656,82.5,150,-138.0,Pass,1
66047,43.0,90,-166.0,Withdrawn,0
66254,65.0,30,-26.0,Fail,0
66451,80.0,60,-17.0,Pass,1
66577,85.0,60,-32.0,Fail,0
66579,72.5,60,-22.0,Fail,0
66713,87.0,60,-155.0,Pass,1
66892,66.0,60,-17.0,Withdrawn,0
67182,82.5,30,-32.0,Pass,1
67471,69.0,60,-124.0,Pass,1
67505,53.0,60,-29.0,Fail,0
67539,75.0,60,-46.0,Pass,1
67602,48.5,60,-28.0,Pass,1
67685,75.0,180,-143.0,Pass,1
67781,65.0,60,-75.0,Distinction,1
67785,74.0,120,-24.0,Pass,1
67986,78.5,60,-75.0,Withdrawn,0
68011,76.0,180,-68.0,Withdrawn,0
68107,87.5,60,-51.0,Pass,1
68208,69.5,270,-29.0,Fail,0
68376,86.0,60,-38.0,Pass,1
68417,90.0,60,-86.0,Pass,1
68556,47.5,60,-23.0,Fail,0
69346,83.0,90,-68.0,Withdrawn,0
69439,65.5,90,-24.0,Withdrawn,0
69491,69.5,60,-29.0,Pass,1
69494,62.0,80,-103.0,Withdrawn,0
69703,84.0,120,-124.0,Pass,1
70011,74.0,60,-78.0,Pass,1
70214,45.5,90,-17.0,Withdrawn,0
70381,63.0,30,-37.0,Pass,1
70464,59.0,60,-95.0,Pass,1
70495,79.0,60,-52.0,Pass,1
70537,81.0,120,-17.0,Pass,1
70569,1.0,60,-36.0,Pass,1
70608,80.5,240,-17.0,Distinction,1
70771,50.0,60,-17.0,Withdrawn,0
70827,62.0,210,-29.0,Withdrawn,0
71159,77.5,60,-44.0,Pass,1
